date,casual,member,total_rides,casual_share,avg_ride_length_mins,avg_casual_ride_length_mins,avg_member_ride_length_mins,temp_max,temp_min,temp_mean,precip_mm,rain_any,rain_1mm,rain_5mm
2025-02-15,149,780,929,0.1603875134553283,7.207935809113742,10.473306599552572,6.5841662606837605,1.7,-4.0,-1.0,6.9,1,1,1
2025-02-16,99,483,582,0.17010309278350516,7.64943178694158,10.751615319865321,7.013580503795721,7.4,0.9,3.0,23.1,1,1,1
2025-02-17,165,990,1155,0.14285714285714285,7.061256522366522,8.897073131313132,6.755287087542087,0.9,-3.5,-1.5,0.0,0,0,0
2025-02-18,132,1273,1405,0.09395017793594305,6.290802372479241,7.5893335858585855,6.156154988216811,-3.0,-8.4,-5.3,0.0,0,0,0
2025-02-19,137,1408,1545,0.08867313915857605,6.202748802588997,7.005440389294404,6.12464599905303,-1.1,-9.2,-5.2,0.0,0,0,0
2025-02-20,156,1335,1491,0.10462776659959759,6.197203968253969,8.091678952991455,5.975827116104869,-1.0,-8.6,-4.8,0.9,1,0,0
2025-02-21,174,1366,1540,0.11298701298701298,6.827632424242424,8.529248659003832,6.610881893606638,-0.2,-6.3,-3.9,0.0,0,0,0
2025-02-22,291,1216,1507,0.1930988719309887,7.980616766202168,11.10644581901489,7.232577083333332,3.7,-7.3,-2.1,0.0,0,0,0
2025-02-23,307,1145,1452,0.21143250688705234,9.406433149678605,14.058435342019544,8.159127758369724,7.9,-1.8,2.5,0.0,0,0,0
2025-02-24,227,1831,2058,0.11030126336248786,6.719173817622287,8.268628560939794,6.527078663753869,8.3,-1.8,3.4,0.0,0,0,0
2025-02-25,308,2148,2456,0.1254071661237785,6.834081630021716,8.932783658008658,6.533150426753569,12.6,3.7,7.1,0.0,0,0,0
2025-02-26,322,2270,2592,0.12422839506172839,7.057801774691358,9.56521361283644,6.702124853157121,13.8,2.4,7.2,0.1,1,0,0
2025-02-27,301,2000,2301,0.13081269013472405,6.973260589598725,9.31156965669989,6.621345075,12.1,4.7,8.5,9.2,1,1,1
2025-02-28,414,2142,2556,0.1619718309859155,7.448928873239438,9.91115273752013,6.973036865857455,9.8,1.9,6.1,0.0,0,0,0
2025-03-01,503,1652,2155,0.2334106728538283,8.857670030935807,11.785465639496355,7.96621652542373,16.0,-0.8,7.0,0.0,0,0,0
2025-03-02,217,922,1139,0.19051799824407376,7.650473397717295,10.861020353302612,6.894845751988431,0.6,-7.2,-3.4,0.0,0,0,0
2025-03-03,222,1808,2030,0.10935960591133005,6.525170418719212,9.262398498498499,6.189072723082596,3.7,-5.6,-1.5,0.0,0,0,0
2025-03-04,309,2099,2408,0.12832225913621262,6.810203038482834,9.241024649406688,6.452354597427346,12.9,-2.0,4.8,0.0,0,0,0
2025-03-05,187,1467,1654,0.11305925030229746,6.59173894598952,8.838842691622103,6.305298318563962,12.6,5.7,9.7,39.2,1,1,1
2025-03-06,302,2054,2356,0.12818336162988114,6.783448740803622,8.761321357615895,6.492641764037651,12.2,2.3,9.6,2.9,1,1,0
2025-03-07,378,1958,2336,0.1618150684931507,6.932857227454338,8.638515564373897,6.603572829417773,8.2,-0.8,3.8,0.0,0,0,0
2025-03-08,400,1608,2008,0.199203187250996,7.3453080262284205,8.832696583333334,6.975310872719734,6.2,1.0,3.6,0.0,0,0,0
2025-03-09,358,1343,1701,0.2104644326866549,8.732855692729768,11.13875395716946,8.091521680317697,10.4,-2.3,3.7,0.0,0,0,0
2025-03-10,434,2307,2741,0.1583363735862824,8.313820375775263,13.75737089093702,7.289762758271926,17.1,3.7,9.5,0.0,0,0,0
2025-03-11,495,2548,3043,0.16266841932303647,7.713062788914448,12.224722323232323,6.836582620355835,16.1,2.8,9.5,0.0,0,0,0
2025-03-12,400,2285,2685,0.148975791433892,6.96610974549969,8.863172583333334,6.634019970824216,11.4,3.2,7.5,0.0,0,0,0
2025-03-13,438,2293,2731,0.16038081288905162,6.6682701330404,9.30074589041096,6.165424785579299,10.4,2.0,5.7,0.0,0,0,0
2025-03-14,530,2194,2724,0.1945668135095448,8.020497393538914,11.32655786163522,7.221859267699788,12.9,0.8,6.0,0.0,0,0,0
2025-03-15,590,1651,2241,0.26327532351628735,8.212372259408001,10.504844406779661,7.393136301231577,9.2,3.7,6.6,0.5,1,0,0
2025-03-16,546,1380,1926,0.2834890965732087,9.228471763586017,12.847991483516484,7.796400917874396,15.9,7.4,12.7,8.2,1,1,1
2025-03-17,268,1684,1952,0.13729508196721313,6.803416017759563,8.469592288557214,6.538252573238321,14.8,3.3,11.6,30.9,1,1,1
2025-03-18,434,2375,2809,0.15450338198647207,7.158989349709269,10.474839823348693,6.553061305263157,14.1,0.7,6.8,0.0,0,0,0
2025-03-19,466,2436,2902,0.160578911095796,7.756678560762693,11.988341630901289,6.9471732279693486,14.2,2.8,8.1,0.0,0,0,0
2025-03-20,398,2047,2445,0.16278118609406952,7.1496500817995905,10.253977219430485,6.546073041849861,10.1,5.6,7.8,11.4,1,1,1
2025-03-21,453,1970,2423,0.18695831613702021,7.349898383546567,10.209426526857984,6.6923520642978005,9.4,2.5,6.5,7.3,1,1,1
2025-03-22,731,1881,2612,0.27986217457886675,9.82448534328739,14.415478294573642,8.040319555201133,16.5,2.5,8.3,0.0,0,0,0
2025-03-23,428,1445,1873,0.22851041110517886,9.611102100017797,14.625798948598131,8.125780126874279,8.3,-2.4,3.2,0.0,0,0,0
2025-03-24,176,1276,1452,0.12121212121212122,7.032424873737373,10.32607215909091,6.578128696447231,10.6,4.1,7.1,13.7,1,1,1
2025-03-25,412,2423,2835,0.14532627865961198,7.539779053497942,10.718967273462784,6.999198968221212,14.2,4.9,9.3,0.0,0,0,0
2025-03-26,347,2311,2658,0.13054928517682468,6.484829577376474,8.604490297790585,6.166559447569595,10.2,2.2,6.0,0.3,1,0,0
2025-03-27,470,2395,2865,0.16404886561954624,7.043252961023851,8.703302375886524,6.717481259568546,9.9,-0.5,4.6,0.0,0,0,0
2025-03-28,566,2277,2843,0.19908547309180444,7.448077095790832,9.73733804475854,6.879029358805446,15.8,4.6,10.1,1.3,1,1,0
2025-03-29,1129,2131,3260,0.346319018404908,12.92083194785276,19.257637392973134,9.563603722821837,26.4,7.3,16.0,7.3,1,1,1
2025-03-30,515,1491,2006,0.25672981056829514,8.501222549019607,12.739531521035598,7.037286183769282,13.9,5.7,8.7,0.3,1,0,0
2025-03-31,319,2066,2385,0.13375262054507336,7.673906729559748,10.93992382445141,7.169618514036786,24.0,8.2,16.6,39.2,1,1,1
2025-04-01,392,2427,2819,0.13905640297978006,6.986979094241456,7.7346582057823134,6.86621674907293,16.0,4.6,8.8,6.6,1,1,1
2025-04-02,335,2197,2532,0.13230647709320695,6.525131463928384,7.507836815920398,6.3752879077529965,8.5,0.2,4.7,0.0,0,0,0
2025-04-03,453,2295,2748,0.1648471615720524,7.085126570839398,9.5933048933039,6.590048235294118,22.4,6.7,15.2,1.5,1,1,0
2025-04-04,654,2460,3114,0.21001926782273603,8.788711175337188,14.086541819571865,7.380263516260163,21.3,12.9,17.5,7.2,1,1,1
2025-04-05,449,1335,1784,0.25168161434977576,8.018307912929746,10.930667854491462,7.0387950936329595,12.8,6.1,9.5,1.5,1,1,0
2025-04-06,441,1380,1821,0.24217462932454695,9.255431319787663,12.931444595616023,8.08070533816425,15.5,6.1,9.9,3.1,1,1,0
2025-04-07,182,1415,1597,0.11396368190356919,6.370527363807138,7.369609432234432,6.242023521790341,9.2,4.4,6.1,8.5,1,1,1
2025-04-08,307,2060,2367,0.12970004224757076,6.5069676172370094,8.434216503800217,6.219751399676376,6.8,2.0,4.6,0.0,0,0,0
2025-04-09,372,2178,2550,0.14588235294117646,6.8021347581699345,9.275453494623656,6.3796946434037345,8.4,-1.6,3.3,0.0,0,0,0
2025-04-10,374,2226,2600,0.14384615384615385,6.739999705128205,8.11945329768271,6.50823167115903,9.6,1.7,5.2,0.7,1,0,0
2025-04-11,300,1543,1843,0.16277807921866522,6.508766494845362,7.6155738333333325,6.2935738820479585,7.4,4.6,5.8,11.7,1,1,1
